Question,Answer,Title
Which centers is this programme available in?,"This programme is currently available only at Cult Gym Marathahalli, Cult Gym HSR 24th Main, Cult Gym HSR, and Cult Gym Indiranagar 6th Main.",Gym Happy Hours
Does this apply to group classes?,"No, the happy hour benefit is only applicable to gym check-ins.",Gym Happy Hours
What is the duration of this programme?,The Happy Hour programme will run from April 29th to May 12th.,Gym Happy Hours
What if I check-in and workout twice on the same day during Gym Happy Hours (10 AM to 5 PM)?,"You will receive a maximum of one day's extension per day, regardless of the number of check-ins during Gym Happy Hours.",Gym Happy Hours
What if I check-in at more than one center on the same day during Gym Happy Hours?,"You will receive a maximum of one day's extension per day, even if you check in at multiple centres during happy hours.",Gym Happy Hours
Is the Gym Happy Hour benefit applicable for trial customers?,"No, the happy hour benefit is available exclusively for members.",Gym Happy Hours
Is the Gym Happy Hour benefit applicable to corporate memberships?,"No, the Gym Happy Hour benefit does not apply to corporate memberships.",Gym Happy Hours
What sports are currently available,"Cult Play members can access facilities primarily for the following sports: Badminton, Lawn Tennis, Table Tennis, Swimming, and Squash depending on the city.",About Cult Play
What cities is Cult Play centers currently present in,"Cult Play is currently present in 6 cities: Delhi, Gurgaon, Noida, Faridabad, Hyderabad, and Bangalore.",About Cult Play
Are Cult Play coaches trained/certified ?,All Cult Play coaches are nationally/ internationally accredited and hold certifications for sports training.,About Cult Play
What is the minimum duration to purchase a membership,"Cult Pass Play membership starts at 3 months, 6 months, and 12-month. Plans/cult play facility availability in your city may change from time to time.",About Cult Play
How many bookings are possible at a time,There is no limit on the number of slots that you can book in a day. But a member can only have a max of 2 consecutive and 1 more active bookings at a time.,About Cult Play
Can I use my Cult Play membership anywhere in India,"Cult Play is a city-specific membership. For example, with Cult Pass Play Hyderabad, you can access all the Hyderabad sports facilities.",About Cult Play
What is the slot duration?,Each slot duration is 50 minutes.,Booking
When are the Cult Play facilities closed?,We keep one day off ( usually Monday ) for the facilities for the maintenance. Facilities remain closed on National Holidays as well.,Booking
How many bookings can I do in a day?,"There is no limit on the number of slots that you can book in a day, although a member can only have a max of 3 active bookings at a time.",Booking
How do I get a confirmed slot on daily basis?,Cult Play does not promise for a confirmed slot. User needs to book slot on daily basis through the app from the available slots,Booking
Can I get more complimentary trials?,Cult Play does not have a policy to provide addtional trials. Please raise a support query if you could not complete trial due to Cult Play issue.,Booking
How is the attendance marked at the center,Attendance is marked using a Facial recognition-based (FR) system at the facility.,Attendance
What is a No Show Penalty,"In case a member books and does not turn up at the center, one day is deducted from his/her membership and it is called a No Show penalty.",Attendance
What is a Late Entry Penalty,"In case a member book and arrives later than 15 mins from the session start time, one day is deducted from his/her membership due to Late Entry.",Attendance
How can I check my plan expiry date on the app,Go to Profile by clicking the top left icon on the homepage > click 'active memberships'.,Membership Support
How can I change my email address,"You can change the email from the app, go to profile, click on account , contact details and update your email.",Membership Support
How can I change my contact number,You can reach out to the support team and raise a support ticket in case the contact number mapped to your account details is incorrect.,Membership Support
Does Cult Play have a Referral Policy,"Yes, Cult Play has a Referral Policy. Please the Refer and Earn section in the Profiles section.",Membership Support
What is a referral Policy,Please refer to the Refer and Earn section by going to Profiles - Refer and Earn,Membership Support
How can I change my plan start date,Start date can be extended to 15 days from the actual start date as a one time gesture,Membership Support
How do I change the location to different city,"As per the policy, we do not allow to transfer the membership to a different city.",Membership Transfer
How frequently can I change the location,"As per the policy, we do not allow to transfer the membership to a different city.",Membership Transfer
How can I transfer the membership to someone else,"As per the policy, all Cult Play memberships are non transferrable",Membership Transfer
How many Pause days does Cult Play membership offer,"We provide a 15 pause days for 3 months plan, and 30 and 45 pause days for 6 months and yearly memberships, respectively.",Freeze/Extension
What will happen to my membership if I pause the plan,"The membership will be on pause for the day you do not wish to attend the session, and that day will be carried forward in the validity of your plan.",Freeze/Extension
Will the membership be extended on National holidays,Cult Play does not extend the membership duration due to closure on National Holidays,Freeze/Extension
Can I get a refund,Cult Play memberships are non-refundable under any circumstances (inculding personal and medical reasons),Membership Cancellation
How old do I need to be to enroll?,You need to be 18+ years of age to enroll.,About Transform
Why no shorter duration memberships?,We believe all health journeys take time. Promising drastic changes in 1-2 months is being disingenuous to you.&nbsp;,About Transform
What certifications do Transform Coaches have?,"Transform Coaches are Cult Certified in Behavioural Science, Fitness and Nutrition. You can keep in touch with them via whatsapp or call during your program.",Transform Coach
How do I interact with the coach?,You can keep in touch with your Transform Coach via whatsapp or call during your program.,Transform Coach
What is Cult Transform Plus?,"Holistic weight loss program tailored to your interests, goals, and body limitations for sustainable results from the comfort of your home.",Cult Transform Plus
Can the program be customised to me?,"Stay committed, update coaches on challenges, and let them support you on this journey.",Cult Transform Plus
How can I get best results from the program?,"80% commitment, weekly check-ins with coaches for 1st month results. We'll help you succeed.",Cult Transform Plus
Who should not enroll for this program?,"Pause program if pregnant, resume postpartum for safety. Members less than 18 years of age",Cult Transform Plus
What happens if I miss some class(es) because of travel or other commitments?,"In case you are travelling please do inform the coach beforehand so, that he/she can share a workout plan that you can do from anywhere.",Cult Bootcamp
What is LIFT?,"A goal oriented program, focussed on improving strength & performance for specific movements    Specific time bound program",Lift
How can I interact with Trainers?,You will be added to a community group where additional resources will be sent. There you can interact with trainers and members of the center,Lift
Is this a refundable product?,"No, there shall not be any cancellations or refunds, once you have purchased the Nutrition Coach membership.",Nutrition Coach
What happens if the Nutrition coach sessions are modified/cancelled without notice?,"In such cases, we will communicate any changes in advance and provide alternatives as appropriate.",Nutrition Coach
What happens if the fitness Consultation Sessions are modified/cancelled without notice?,"In such cases, we will communicate any changes in advance and provide alternatives as appropriate.",Fitness Coach
Can I transfer or pause cultpass Home?,You cannot pause or transfer your cultpass Home subscription.,cultpass Home
What services does the cultpass Home not include?,cultpass Home does not include therapy consultations as well as non digital offerings of cult.fit.,cultpass Home
How do I turn-off auto renewal on my ios subscription?,You can turn off your auto renewal in your Apple app store subscriptions.,cultpass Home
What devices can I access At-home classes with Energy tracker on?,"Mobile devices with 2 GB RAM, works with chromecast, laptop, and mobile devices.",At-home Classes
Do I need equipment to attend At-home Classes?,Most of the classes feature bodyweight workouts which means you won’t need equipment or free weights.,At-home Classes
Why do I need to book my spot to attend a class?,"Subscribing to a session lets us remind you and share information about the session, but is not mandatory to be able to join a session.",At-home Classes
How can I see all my class reports?,"At the moment, you can access all your class reports from the ""My profile"" tab under fitness page.",Energy meter and Reports
"My network/internet connection dropped, can I rejoin the session from where I left?","Yes, you can rejoin the session. However, since the session is streamed L, you will join the session at the point it has progressed at that time.",Technical issues
How many days a week to workout?,"The whole program is self paced. But to see great results, 4-5 times a week is very important.",Fit Mama
What equipment will I need?,Here is the list of equipments you will need:     Workout Mat - LINK  Small Ball or cushion - LINK  Resistance Band - LINK  Yoga Block - LINK,Fit Mama
What else do I need to do while I am doing this program?,Walking - as much as you can as walking is the best fat burner there is.,Fit Mama
More questions ?,Please email shwetambari@curefit.com .,Fit Mama
What is cult?,"At Cult, we make fitness fun and easy. We have best-in-class trainers & offer group workouts ranging from yoga to Boxing. Our workouts can be done both at a cult center and at home with the help of do it yourself (DIY) workout videos. Cult.fit uses the best in technology to give you a world-class experience. You can book classes, follow workout videos - all with the click of a button from the cult.fit app or website.",About cult
What kind of workout formats are available at cult?,"At cult centers, you’ll find a wide variety of workout formats, such as - Boxing, Dance Fitness, Yoga, S&C, and HRX. These workouts focus on strength, muscle endurance, flexibility, stamina & balance. So mix it up, pick formats that help you achieve your personal fitness goals. You’ll also find unique workout formats designed by Bollywood stars like Hrithik Roshan! We can assure you that your sessions will be more fun, interesting, and less monotonous. You can find more info about all our workout formats here . If you prefer to workout at home, we've got you covered! You can follow DIY and LIVE videos that are meant for both beginner & advanced levels and focus on building strength, stamina & mobility.",About cult
How is the cult center different from a regular gym?,"With our non-conventional training facility, we aim to give you a balanced mix of workouts that will enhance your health while having fun at the same time. Cult differentiates itself, from other fitness centers by offering group workouts that focus on overall development. Cult has a simple philosophy - make fitness fun and easy with the help of best-in-class trainers and group workouts . Our workouts can be done both at a cult center as group classes and at home with the help of do-it-yourself (DIY) workout videos. Cult.fit uses the best in technology to give you a world-class experience. You can book classes, follow workout videos - all with the click of a button from the cult.fit app or website. To know more about cult, check this link .",About cult
Which fitness services does Cult.fit offer?,"Cult.fit has services to fulfill all your fitness needs. A quick overview of them below 1. At-center Group classes - This is a unique service offered by Cult. They are trainer-led sessions in various different formats ranging from cardio based dance fitness to muscle building HRX to strength & conditioning and relaxing yoga and stretching. This is a novel way to work out your whole body with others like you giving you motivation. Your trainer will give you extra attention in your first few classes so that you get accustomed to the exercises. There is something for everyone regardless of where they are in their fitness journey 2. Gyms - Suited to users who have very specific fitness goals. Cult offers access to the widest set of gyms in the country including Gyms from Fitness First, Gold Gym and Volt Gyms to name a few. These gyms come equipped with trainers who will provide general guidance on the workout floor on how to use the equipment and how to work out to achieve desired results. They may also be available for personal training on request. 3. At-home workouts - Why step outside the comfort of your home to work out? Use the many many cult workouts online on the cult app. There is a range of pre-recorded and live sessions that you can take advantage of. 4. Transform - Many of us start our fitness journey to shed those extra kilos. We often lose the weight only to find that it creeps back on us (quite literally!).  Interact with our health coaches to make sure you get into shape so that you stay in always. No more see-saws with your weight!",About cult
Can I buy now and start later?,"Yes, you can select a different date to start your pack at the time of purchasing the pack. You can extend this date further even after pack purchase. However, you must do this before your first cult class or check-in. The extension is allowed only till 30 days of your originally selected pack purchase date and you can make this change twice. In case of session based packs like cult transform and PT, the start date is determined by the day of your first session.",About cult
Which pack should I buy?,"Cult offers a variety of all-access passes tailored to your needs. Amongst our fitness options, Cultpass Elite, Pro and At-home are the most popular. In addition to these, you can also buy sessions with our weight loss coaches under our Transform program. Elite Pro At home At-center Group Classes Yes Limited access - 2 classes per month No Elite Gyms Yes Limited access - 2 classes per month No Pro Gyms Yes Yes No Smart Workout plan Yes Yes Yes At-home live workouts Yes Yes Yes",About cult
What is Dance Fitness?,"Dance Fitness is a High-Intensity cardio-based workout, which helps in stress reduction, burning calories, and cardiovascular endurance. A typical dance fitness sessions last 40 -50 mins, distributed within - Warmup Dance form of the day Main workout Fun challenges Cool Down Calories Burnt: 550 Anyone from beginner to an advanced person can attend this session with no prior dance experience required. Leave your worries at home and get grooving with us!",Workout Formats
What is Yoga?,"Yoga is a Medium-Intensity workout, which helps in stress reduction, flexibility, mental and emotional well-being. A typical dance fitness sessions last 40 -50 mins, distributed within - Warmup Suryanamaskar Asana Practice Relaxation Calories Burnt: 250 Anyone from beginner to advanced yoga practitioner can attend this session. Leave your worries at home and relax with us!",Workout Formats
What is Boxing?,"Boxing is a High-Intensity Cardio workout, which helps with fat burn and building stamina and core strength. A typical boxing sessions last 40 -50 mins, distributed within - Warmup Boxing techniques & skill work Core & Conditional routine Cool Down Calories Burnt: 450 With this format, you can learn boxing, builds athleticism & speed, and get toned at the same time. No prior experience in fitness or boxing required, anyone from beginner to an advanced athlete can attend this session. Leave your worries at home and burn those calories with us!",Workout Formats
What is S&C?,"S&C stands for Strength and Conditioning. It is a High-Intensity workout, which helps in building strength, endurance, mobility, and stamina. A typical S&C fitness sessions last 40 -50 mins, distributed within - Warmup Workout Introduction Workout 1 Conditioning routine Workout 2 Core workout Cool Down Calories Burnt: 400 Anyone from beginner to an advanced person can attend this session with no prior gymming experience required. We provide weight all the required equipment ar the center. Leave your worries at home and burn those calories with us!",Workout Formats
What is HRX ?,"HRX is a Medium-Intensity workout, which helps in building core + full-body strength, muscle gaining, and mobility. A typical HRX fitness sessions last 40 mins, distributed within - Warmup Workout Introduction Workout 1 focused on the muscle group Workout 2 for Core strength Cool Down Calories Burnt:400 Anyone from beginner to an advanced person can attend this session with no prior gymming experience required. We will provide weights and all the required equipment at the center. Leave your worries at home and burn those calories with us!",Workout Formats
What is Badminton,"Badminton is a High-Intensity Cardio workout, which helps with full-body strength, and flexibility. Calories Burnt: 350 A cultpass member can book a slot and we assure you a playing partner. This would not be a trainer-led session. No prior experience in fitness or badminton is required anyone from beginner to advanced can attend this session. Leave your worries at home and sweat away those calories while enjoying sports",Workout Formats
What is Cult Run?,It’s a trainer-led outdoor group running class aimed to give you a high-intensity cardio workout. Approximate calories burnt: 350 The session is beginner-friendly. No prior experience in running or any other fitness activity is required. This format is currently available only in Bengaluru at select locations. Leave all your worries at home and shred those extra calories in the fresh morning air.,Workout Formats
cult center locations,"We started our very first center in south Bangalore, India and now are present in 130+ locations across Bangalore, Delhi, Mumbai, Hyderabad. Our centers are located in some of the most prime locations in these cities. You can find a center near you right here (Scroll down to the 'cult Centers' section! Come visit one of our centers & take a free trial to experience the magic of Cult. You get 2 free trial sessions. If we aren’t present at a location close to you, don’t lose heart, you can always workout at home with our At Home do it yourself videos available on the cult.fit app.",cult centers
cult center facilities,"Each cult center is around 5,000 sq ft and has natural light and air flowing into the workout spaces. Though, all our centers have common facilities like changing rooms, lockers, shower rooms, drinking water and all the equipment required for your workout session",cult centers
I bought a cultpass for a certain center. Can I attend classes in other centers as well?,"If you have a cultpass ELITE, you can workout at any of our centers in your city and 5 sessions a month in centers outside your city. However, if you have bought the center launch pack for a new center or a cultpass SELECT, you can only work out in that center. (Subject to availability) Please note that once you have booked a session for a particular center, you can only attend the class at that center.",cult centers
I travel frequently between cities. Can I use cult centers in a different city?,"Absolutely! We don't want the travel to get in the way of your workout routine. You can attend a maximum of 5 classes per month at cult centers in a different city, in the same country at no extra cost. If however, at any point during your membership, you move to that city, you can transfer your cultpass to there and use cult everyday. To transfer your cultpass to a new city: Ensure you have the latest version of the app From your Profile, go To Active Packs / Subscriptions Tap the 3 dots and pick Transfer membership Select - Another City Pick the city & center Confirm the transfer Pack can be transferred to a different city 3 times from the app, however there needs to be a minimum of 60 days duration before the next transfer. Note: If you have a cultpass SELECT pack, to transfer your membership to a new city, we will first need to convert it to an cultpass ELITE via the app.",cult centers
What is cultpass ELITE?,"Cultpass ELITE is a membership pack where you get unlimited access to trainer ledGX sessions and Gym classes as you like in the city. However, you can prebook only 4 classes at any given point in time. The moment you finish one class, you get the option to book another class. We have 3 month, 6 month & 12 month cultpass. You also get a feature where you can Pause (limited duration basis the pack) the membership if you are unable to attend or transfer your pack to a different city if you are relocating. You would get complimentary at home workout access. You can also create a smart workout plan based on your lifestyle. To find out more about memberships & pricing you can check our website",cultpass details
Why should I buy a cultpass ELITE?,The journey towards fitness and health is a continuous and a regular one. A consistent workout schedule will help you achieve your health and fitness goals. A membership pack will help you stick to your fitness plan as it needs you to make a commitment.,cultpass details
I don’t want to buy a cultpass ELITE. Can I book individual class & pay for them separately?,Can’t commit to a membership? We’ve got something for you too. You can book as many individual sessions as you like through our app or website and pay for each one while booking the session. Payment for these classes can only be done ONLINE. You can not book a class from a cult.fit center. You can find out more about pricing from the app or website.,cultpass details
I want to buy a cultpass ELITE. How do I do that?,"Great decision! Here’s how you can buy your cultpass : From our app/website: Open the Home page Click on to fitness tab at the bottom Scroll to the bottom and you'll see ""Explore cultpass"" Pick a pack of your choice & make the payment online From our website Scroll to cultpass ELITE Pick a pack of your choice & make a payment online At our center You can talk to our center manager and find out more about our available packs & offers",cultpass details
Where can I see the list of centers and gyms where cultpass ELITE is available?,"You can see the list of centers where cultpass are available by following the below steps: From the Home tab At the bottom, select cult Scroll down to the cultpass ELITE section Select a pass and see the centers where the pass is available Click on this link to visit the website. You can see the list of gyms where cultpass are available by following the below steps: From the Home tab At the bottom, select cult Click on Gyms, scroll down to the gyms near me section Update your location to find gyms near you Click on this link to visit the website.",cultpass details
How can I change the start date of my cultpass?,"You can change your pack's start date only if you have bought a cultpass and haven’t still started using it i.e. haven't attended/missed a booked class. If you have any upcoming classes you will have to cancel them to change start date. In case you have paused your cultpass, please resume to change the start date. You can begin your membership earlier/later, but the new start date cannot be beyond 30 days from the originally selected start date. It can be changed up to 2 times. Here's how you can change your cultpass's start date: Ensure you've got the latest version of the app (it won't work otherwise) From the app's Home tab, tap the Profile icon (top right) Hit Active Packs/Subscriptions Select the pack for which you need to change the start date Tap the three dots Tap Change Start Date (just below Report an Issue) Click on Select Start Date Select preferred start date from dropdown menu Click on Confirm & hit Submit Please note: You won't be able to change your start date if you have already changed your start date twice",cultpass details
Can I pause my cultpass ELITE? How do I do it?,"cultpass memberships are built to give you the flexibility you need. Each membership pack comes with a fixed number of pause days. Find out more about the number of pause days associated with your membership here To pause your membership Click on your profile tab or the Home page, select Active Packs/Subscriptions Select your active cultpass ELITE Click pause Select the end date until which you want to pause your membership Select the reason for pausing your membership You're all set! If you would like to resume your membership manually before the date selected, just resume the membership from the same page. Know more about exactly how pause works here",cultpass details
For how many days can I pause my cultpass?,"You can pause your cultpass as many times as you’d like as long as you do not exhaust the number of pause days available for your pack. The number of pause days available for your membership depends on the type of cultpass you buy: Membership Packs: 3 months cultpass ELITE - 10 days 6 months cultpass ELITE - 25 days 10 months cultpass ELITE - 45 days 12 months cultpass ELITE - 45 days 3 months cultpass Pro - 15 days 6 months cultpass Pro - 30 days 10 months cultpass Pro - 45 days 12 months cultpass Pro - 45 days Please note: If you have received any complimentary extension as part of an offer while buying your cultpass, you only receive pause days for the base cultpass and will not get any additional pause days for the complimentary extension. eg. If you bought a 3 month cultpass with a complimentary 1 month extension, you only get pause days for the 3 month cultpass i.e 10 pause days that can be used through the duration of 4 months.",cultpass details
How does pause work?,"cultpass are built to give you the flexibility you need! Each cultpass comes with a fixed number of pause days . You can pause your cultpass as many times as you like until you exhaust the allocated pause days. On the day that you would like to pause your pack, simply pick the end date for the duration that you would like to pause your membership. When your membership resumes, it will be extended by the number of calendar days for which your membership was paused. And, the total number of pause days will be reduced by the same number. When you pause your cultpass ELITE , all classes scheduled after the pause start date will be cancelled . Please note that your membership will only go into pause at 11:59:59pm on the  day you pause it. This means, you can attend all booked classes/book classes until the end of that day. Once your pause duration is over, your membership will automatically resume at 11:59:59pm of the chosen end date. At the same time, your membership will automatically be extended by the number of paused calendar days and the total pause days will also be reduced by the same number.",cultpass details
Can I book classes while my cultpass ELITE is paused?,"You cannot book classes while your cultpass pack is paused. If you book classes during this period, you may be asked to pay for the class. You will be able to book free unlimited classes only once your cultpass resumes. However, you can book a class post the pause duration.",cultpass details
How are cult classes designed and scheduled?,"Your cult classes are designed by highly qualified trainers. Classes are planned very logically keeping in mind various factors such as covering all muscle groups over a period of time through movements that improve strength, endurance & mobility. We also make sure that the workout is interesting, fun and pushes people just the right amount. Read more about how we design our workouts here !",cult classes
What is the duration of cult classes?,"Each in-center GX Cult class is designed to be 50 minutes long. Each At Home cult.fit workout class can be from 10 up to 60 mins long. All our workouts include warm-up, the workout and cool down.",cult classes
Are cult classes beginner friendly?,"Don’t worry! All our classes are beginner friendly. If you are doing an at Home cult.fit DIY session, we have sessions designed specifically for beginners. At our cult.fit centers too, we welcome beginners and look after them in every class. If it’s your first class, just arrive 10 minutes early, and we’ll make sure we help you get started and feel totally comfortable. To know more about what to expect in your first class read here .",cult classes
How often should I do cult sessions?,"Well, 5 sessions over a week is the magic number. But you need to do three sessions per week at a minimum to get something out of all that hard work. Some of our members also take more than five classes a week, but we always recommend getting some rest, especially if you’re just starting out. If your muscles are very sore, take it easy & give them time to repair themselves.",cult classes
Can I take a free trial session before I decide to buy a cultpass?,"Absolutely! You get not just one, but two trial sessions across any of our centers and at no cost. Booking your trial session is super easy and can be done via our website or app. 1. Click ""Cult"" 2. Hit ""Book 2 Free Classes"" 3. Pick a center your choice of workout at your convenient time! If you have received a voucher from one of our partner companies for a free 7 day trial, you can activate your trial by clicking here. For any reason, if you won't be able to make it to your trial session, we encourage you to CANCEL the session 60 mins in advance. If you do not attend the trial session or forgot to cancel it, it will result in a no-show In any case, if you purchase a cultpass without booking a trial session, please note that you will not be eligible to utilize them later.",cult classes
I would like to start attending cult sessions at your center.,Awesome! Congrats on making the best decision of your life. To attend cult sessions at our centers you can either buy a  pack or book individual sessions and pay for each session as you go. You can book a session at a preferred center for your choice of workout by visiting our website www.cult.fit or from our app.,cult classes
Will I get reminded about my class well in advance?,"Yes, you will be notified about your class 90 mins before the class start time through an app notification. If you’ve registered on the cult.fit app with your gmail account, all your booked classes will start appearing on your google calendar. Set up a time on your calendar for how much in advance you want to get reminded about your class. Turning on Google calendar notification feature also means that you will be auto-subscribed to email notifications on each booking or cancellation. In case you wish to unsubscribe to calendar notifications, you can go to the profile section , click on Class Reminders and turn off “Google Calendar Notifications”",cult classes
Why do I have to book a class?,"To attend a class at any of our centers, you will first need to book a slot for yourself since we have limited slots for each class. We limit the number of slots per class so that our trainers can give you individual attention and that the effectiveness of your workout isn’t compromised.",Booking cult classes
How do I book a cult class?,"Booking a class is super easy! You can book it from the cult.fit app or website. Here’s how: From the app Log into the cult.fit app From the Home tab, tap on Book Cult Class Pick a center Pick a date Pick your preferred format & time slot From the website Go to Cult Book a Class Pick a center Pick a date Pick your preferred format & time slot For your first few classes, we recommend that you take it easy and build up gradually :) Find out more about what to expect in your first class here .",Booking cult classes
How do I book a free Cult class?,"Great decision! We think you’ll love the classes. Booking your free class is super easy. You can book it from our app or website. Here’s how: From the app Log into the cult.fit app From the Home tab, tap Cult Click on to Book 2 Free Classes Pick a center Pick a date Pick your preferred format & time slot From the website Go to Cult Click Book 2 classes free! Pick a center Pick a date Pick your preferred format & time slot For your first few classes, we recommend that you take it easy and build up gradually :) Find out more about what to expect in your first classes.",Booking cult classes
Can I cancel/reschedule a booked Cult class?,"You can cancel a booked class up to 60 minutes before the class begins. You can also cancel classes from your profile tab - Tap on profile tab Select your cult.fit Pack Scroll down to future class, click on the options button to cancel a class You can also cancel a class from our website . Please log into your account, click on cult.fit, click on your active pack, pick your upcoming class and cancel it. To reschedule that class simply book another available class after canceling the current class. Not cancelling a class in time can result in a no-show.",Booking cult classes
My desired time slots are always booked out/My preferred format is always booked out.,We understand your disappointment when this happens. You can book sessions up to 4 days in advance. We recommend that you plan and book your sessions in advance since most of our customers book sessions in advance. This way the likelihood of finding a booked out session will be less. At times you will also see slots open up about an hour before the session. Do keep an eye out for these as they run out quickly. Starting 15th March we are changing the way no-shows work and also introducing the waitlist feature. With both these changes thousands more will be able to attend more of their favourite classes. Know more here . Write to us at hello@cult.fit if you are facing technical issues while booking your sessions.,Booking cult classes
Is the PAR Q a medical form from a hospital or medical association?,It is a widely used voluntary self-appraisal of one’s own physical condition. It is commonly used by those who want to start a fitness routine to help them assess their readiness for rigorous physical activity. It is not published by any particular medical association.,Booking cult classes
Why do I have fill the PAR Q form to declare my medical history before booking a class?,"Working out is great for most people. However, it might pose a potential risk for individuals with a certain health history if they do not exercise with the advice provided by their medical doctor. We want to ensure that we are able to provide an environment that is both safe for you and beneficial for your health. Understanding your previous medical history helps us achieve this. We hope you understand that our philosophy is not one that goes against you but one that ensures your safety.",Booking cult classes
I am unable to book a class. It is asking me for a doctor's approval.,"Working out is great for most people. However, it might pose a potential risk for individuals with a certain health history if they do not exercise with the advice provided by their medical doctor. We want to ensure that we are able to provide an environment that is both safe for you and beneficial for your health. Please speak with your doctor about any potential  risks of working out. As soon as you provide us a valid doctor's approval in the format shared with you on email, we will resume your membership within 48 hours. Don't worry, you won't lose out on membership days. We will adjust the pack end date to accommodate for the time you could not book a class. If you have a monthly subscription (available only in India), you will receive Rs 100 for every day that you could not book a class. We hope you understand that our policy is not one that goes against you but one that ensures your safety. If you have more questions around this, p lease reach out to us via the support option in the cult.fit app/website (Home > Profile > Support)",Booking cult classes
What do I need to carry to the center for my workout?,"Workout equipment like weights, boxing bags are available at the center. We also have hand sanitisers available at the center. To ensure safety during COVID-19, we request all members to bring their own workout kit having the following: Water bottle Hand towel Yoga Mat Face Masks Workout Shoes Boxing classes can be done without gloves & hand wraps, but in case you want to use gloves & hand wraps you can bring your own Lockers are not accessible during the COVID-19 pandemic, we request you to not carry valuables to the center. .",Attending cult classes
Can I workout without shoes?,You will need a pair of shoes to attend a session and workout with other members. We recommend our members to carry clean workout shoes to maintain hygiene at the workout centre and the floor. We do not encourage our members to workout without shoes as they protect you from common workout-related injuries.,Attending cult classes
